group	names	scores	logfoldchanges	pvals	pvals_adj
8	KLRC2	0.44589362		0.6556740963761876	0.9998735242645989
9	VCAN	35.4502		2.880350044115831e-275	5.7607000882316616e-272
9	FBLN1	28.95619		2.3453546434672916e-184	2.3453546434672915e-181
9	APOE	17.543383		6.682869751100695e-69	4.455246500733796e-66
9	FGFBP2	12.965863		1.9106671361862703e-38	9.553335680931351e-36
9	FTL	12.006222		3.2956097847145115e-33	1.3182439138858046e-30
9	BCL11B	9.04487		1.4984276038800543e-19	4.994758679600181e-17
9	BIN2	6.719645		1.8216799269406654e-11	5.2047997912590435e-09
9	LIMD2	5.8085985		6.299792317695093e-09	1.5749480794237733e-06
9	CREM	4.754305		1.9913035051119576e-06	0.0004425118900248795
9	OLFML2B	4.3845553		1.1622287619273763e-05	0.002324457523854753
10	FN1	23.152506		1.3716675825353732e-118	2.7433351650707463e-115
10	COL1A1	19.21227		2.922042380939072e-82	2.922042380939072e-79
10	FTL	6.4666824		1.0017800723275896e-10	5.008900361637948e-08
10	THBS2	5.213029		1.8578197745807432e-07	7.431279098322972e-05
10	COL5A2	4.758411		1.9512306673048315e-06	0.000557494476372809
10	TUBA3E	3.3758342		0.0007359226382961734	0.1338041160538497
10	LINC01644	3.122956		0.0017904452218492092	0.2984075369748682
10	AEBP1	2.7367494		0.006204952272856207	0.7299943850419066
10	CXCL12	2.5279872		0.011471854669128045	0.999937861799113
10	HTRA1	2.477467		0.013231863863138122	0.999937861799113
11	RGCC	52.208595		0.0	0.0
11	ETS1	5.083532		3.704801624058015e-07	0.0003704801624058015
11	CREM	4.536619		5.716321031556341e-06	0.0038108806877042273
11	PLPP3	3.1869297		0.0014379166489138903	0.5751666595655561
11	KCTD12	2.8864927		0.003895616986474332	0.9997622588818237
11	SPARCL1	2.518664		0.011780105468014694	0.9997622588818237
11	MT1A	2.239402		0.025129766660712424	0.9997622588818237
11	MMP3	2.0056806		0.04489033640104289	0.9997622588818237
11	AKR1C1	1.3595568		0.1739702352651452	0.9997622588818237
11	PRDM1	1.319177		0.1871099410824557	0.9997622588818237
12	LIMD2	24.219395		1.3899852874245959e-129	2.7799705748491916e-126
12	LTB	20.757307		1.053056660317727e-95	1.053056660317727e-92
12	ACAP1	11.28304		1.5914872659961922e-29	1.060991510664128e-26
12	FYN	4.2810745		1.859930322011234e-05	0.009299651610056171
12	LCK	3.152403		0.001619324841093353	0.6477299364373412
12	HCLS1	3.0550117		0.002250516779224319	0.7501722597414396
12	TNFRSF1B	2.8562484		0.004286794848636507	0.9999960412582514
12	SAMSN1	2.853697		0.004321372341975723	0.9999960412582514
12	IGHM	2.8315213		0.004632713598506259	0.9999960412582514
12	RCSD1	2.7519853		0.0059235179247792685	0.9999960412582514
13	CTSS	52.904057		0.0	0.0
13	ETS1	5.583759		2.3537487709121055e-08	2.3537487709121056e-05
13	C1R	3.0733829		0.002116467204323111	0.9999569803203453
13	ADAMTS9	2.3821898		0.01721002271616271	0.9999569803203453
13	PRDM1	2.2575684		0.023972577693271005	0.9999569803203453
13	TNFRSF1B	2.2390862		0.025150311808964123	0.9999569803203453
13	RGCC	1.6721734		0.09449013375034436	0.9999569803203453
13	AKR1C1	1.4748591		0.14025042291701284	0.9999569803203453
13	LTB	1.4339046		0.1515994780007428	0.9999569803203453
13	C1S	1.215767		0.22407367681418688	0.9999569803203453
14	VSTM2A	22.649323		1.416725602590592e-113	2.833451205181184e-110
14	CST9	21.378078		2.1374986164508927e-101	2.1374986164508925e-98
14	DIO1	11.717362		1.0385556425923157e-31	6.923704283948772e-29
14	FTL	6.2283673		4.713206762584126e-10	2.356603381292063e-07
14	CYP4F8	4.971247		6.652354812716531e-07	0.00022174516042388435
14	CCDC78	3.1618888		0.0015674935631715642	0.34833190292701427
14	AC008663.1	3.1029673		0.0019159078787759237	0.38318157575518474
14	HLA-DQB1	3.0664876		0.0021658989440494648	0.3937998080089936
14	AC005920.1	2.7201774		0.006524688763340887	0.9320983947629838
14	CST4	2.602065		0.009266425797181494	0.9998523793099904
15	UGT2B11	31.374395		4.523209656566679e-216	9.046419313133357e-213
15	TSPAN8	15.93738		3.4866812646326824e-57	3.4866812646326826e-54
15	TCAP	9.272201		1.823448616344817e-20	1.2156324108965447e-17
15	UGT2B28	8.524946		1.5288101294346186e-17	7.644050647173092e-15
15	SPRY1	6.6911345		2.214473792996425e-11	8.8578951719857e-09
15	CST4	6.5250216		6.799178533846011e-11	2.266392844615337e-08
